id,product_id,warranty_period,claim_process
1,1,1 Year,"To claim warranty for Bose Headphones Model 1, contact our support team with your purchase receipt."
2,2,6 Months,"To claim warranty for Apple Smartphone Model 2, contact our support team with your purchase receipt."
3,3,2 Years,"To claim warranty for Xiaomi Smartphone Model 3, contact our support team with your purchase receipt."
4,4,2 Years,"To claim warranty for Apple Smartphone Model 4, contact our support team with your purchase receipt."
5,5,1 Year,"To claim warranty for Lenovo Laptop Model 5, contact our support team with your purchase receipt."
6,6,6 Months,"To claim warranty for HP Laptop Model 6, contact our support team with your purchase receipt."
7,7,6 Months,"To claim warranty for Apple Smartphone Model 7, contact our support team with your purchase receipt."
8,8,1 Year,"To claim warranty for Bose Headphones Model 8, contact our support team with your purchase receipt."
9,9,2 Years,"To claim warranty for Asus Laptop Model 9, contact our support team with your purchase receipt."
10,10,2 Years,"To claim warranty for Garmin Smartwatch Model 10, contact our support team with your purchase receipt."
11,11,1 Year,"To claim warranty for OnePlus Smartphone Model 11, contact our support team with your purchase receipt."
12,12,6 Months,"To claim warranty for Sennheiser Headphones Model 12, contact our support team with your purchase receipt."
13,13,1 Year,"To claim warranty for Bose Headphones Model 13, contact our support team with your purchase receipt."
14,14,2 Years,"To claim warranty for Lenovo Laptop Model 14, contact our support team with your purchase receipt."
15,15,1 Year,"To claim warranty for Apple Smartwatch Model 15, contact our support team with your purchase receipt."
16,16,1 Year,"To claim warranty for JBL Headphones Model 16, contact our support team with your purchase receipt."
17,17,2 Years,"To claim warranty for Fitbit Smartwatch Model 17, contact our support team with your purchase receipt."
18,18,6 Months,"To claim warranty for Apple Smartphone Model 18, contact our support team with your purchase receipt."
19,19,6 Months,"To claim warranty for Samsung Smartwatch Model 19, contact our support team with your purchase receipt."
20,20,1 Year,"To claim warranty for Samsung Smartwatch Model 20, contact our support team with your purchase receipt."
